sample	Site	median	mean	siltandclay	Branch_stock	Branch_CN	Leaf_stock	Leaf_CN	FH_stock	FH_CN	Latitude	Longitude	Altitude	MAT	MAP	Dominant_tree_type_1	Dominant_tree_type	Bac_Chao1	Fungi_Chao1	NMDS1_bac	NMDS1_fungi	NMDS2_bac	NMDS2_fungi	GNIT_Soil.DNA	GMIN_Soil.DNA	GMIN_TN	GMIN_GNH4C	GNIT_GMIN	GMIN_GNIT_GMIN	pH.H2O.	Total.C	Total.N	CN	GMIN	GNIT	GNH4C	GNO3C	Soil.DNA	Bacterial.16S	Fungal.18S	F.B	WRB	WRB_3	soil_type	Forest_type	Dominant_tree_species	d15N
S77	KSN	18.683	34.31380139	81.65418346	0.1	85.83	0	NA	5.88	31.64	36.54583333	139.4211111	980	9	1710	1	Broadleaf	5440.141079	1187.552632	-0.793482297	-0.401927989	-0.206335236	-0.17295719	0.002876893	0.0079921	2.47755102	0.989405053	0.359967051	0.640032949	4.93	9.32	0.49	19.02040816	1.214	0.437	1.227	0.673	151.9	3.35E+11	3242812498	0.01	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	1.811430871
S78	KSN	14.242	38.46932168	79.0580471	0.54	81.03	0.1	35.17	14.86	24.61	36.54583333	139.4211111	980	9	1710	1	Broadleaf	7755.703381	1507.694915	-0.27404231	-0.213015071	-0.223566903	-0.16961047	0.011627907	0.022674419	4	4.859813084	0.512820513	0.487179487	5.15	13.79	0.78	17.67948718	3.12	1.6	0.642	2.623	137.6	3.32E+11	10458283126	0.032	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	2.730126786
S79	KSN	24.51	112.7779751	63.10447582	0.66	73.38	0.27	34.54	25.99	28.18	36.54583333	139.4211111	980	9	1710	1	Broadleaf	7088.601537	1816.118644	-0.418757694	-0.26593071	-0.144210138	-0.118196452	0.01349277	0.032647386	4.891666667	1.481574962	0.413287905	0.586712095	5	10.35	0.6	17.25	2.935	1.213	1.981	NA	89.9	1.04E+11	4620807296	0.044	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	3.624357657
S8	URN	6.308	10.97019191	98.301	0.6	65.43	1.98	28.28	5.08	25.5	44.35583333	142.2580556	300	4.4	1150	0	Conifer	3149.532787	703.1111111	-1.31445159	-0.661050932	-0.593072788	-0.757860137	0	0.091022222	5.535135135	2.452694611	0	1	4.6	6.09	0.37	16.45945946	2.048	NA	0.835	0.188	22.5	46920910983	2911390315	0.062	Cambisols	Cambisols	2	Cool temperate mixed forest	Abies sachalinensis	3.073267528
S80	KSN	18.683	165.0010227	65.86702399	0.1	79.88	0.07	34.56	16.31	30.5	36.54583333	139.4211111	980	9	1710	1	Broadleaf	6538.209125	1269.3	-0.485772046	-0.39775533	-0.210560739	-0.182116444	0.009176277	0.031771005	6.122222222	1.0263438	0.288825512	0.711174488	5	11.5	0.63	18.25396825	3.857	1.114	3.758	1.243	121.4	2.99E+11	8752937611	0.029	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	1.303699897
S81	OYB	7.225	16.35625163	92.53422397	1.55	161.99	0.4	73.7	5.71	49.59	36.56305556	139.3522222	820	9.8	1690	0	Conifer	9462.333333	1664.511628	0.679144661	0.560556374	-0.005199336	0.09539378	0	0.03871407	3.819402985	0.508949881	0	1	5.48	11.08	0.67	16.53731343	2.559	NA	5.028	NA	66.1	1.48E+11	911411163	0.006	Andosols	Andosols	3	Artificial coniferous forest (planted in 1907)	Cryptomeria japonica	3.050219008
S82	OYB	12.434	96.87388717	73.06434678	0.11	221.41	0.17	57.19	8.28	50	36.56305556	139.3522222	820	9.8	1690	0	Conifer	6959.783555	1463.669903	-0.201448018	0.191558174	-0.075739412	0.024474289	0	0.062207792	5.322222222	0.540266185	0	1	4.78	8.95	0.45	19.88888889	2.395	NA	4.433	NA	38.5	73521884080	496216379	0.007	Andosols	Andosols	3	Artificial coniferous forest (planted in 1907)	Cryptomeria japonica	3.267189569
S83	OYB	7.225	21.83431144	90.97409026	1.23	166.44	0.08	58.7	10.1	50.97	36.56305556	139.3522222	820	9.8	1690	0	Conifer	9065.366757	1594.676471	0.546002344	0.482615761	-0.003611201	0.106873851	0.016331169	0.071282468	5.933783784	0.603159341	0.229104987	0.770895013	5.28	13.12	0.74	17.72972973	4.391	1.006	7.28	0.746	61.6	1.52E+11	518439304	0.003	Andosols	Andosols	3	Artificial coniferous forest (planted in 1907)	Cryptomeria japonica	2.975858205
S84	OYB	7.225	18.8167914	89.79351032	0.91	425.59	0.08	69.83	11.75	61.37	36.56305556	139.3522222	820	9.8	1690	0	Conifer	8780.144101	1559.19469	0.299188556	0.36537974	-0.161736802	0.08420485	0	0.049272503	4.701176471	0.583357664	0	1	5.19	14.62	0.85	17.2	3.996	NA	6.85	NA	81.1	1.87E+11	974587396	0.005	Andosols	Andosols	3	Artificial coniferous forest (planted in 1907)	Cryptomeria japonica	2.49228583
S85	OYB	8.275	20.31347251	90.83218336	1.42	171.59	0	68.33	10.56	56.69	36.56305556	139.3522222	820	9.8	1690	0	Conifer	6833.369008	1253.146067	0.243161978	0.520758932	-0.04606789	0.087522693	0.013588083	0.071360104	10.80196078	0.712401397	0.190415683	0.809584317	5.08	10.17	0.51	19.94117647	5.509	1.049	7.733	0.378	77.2	2.01E+11	700409758	0.003	Andosols	Andosols	3	Artificial coniferous forest (planted in 1907)	Cryptomeria japonica	2.692245229
S86	OYC	7.225	16.05156774	92.89527113	0.43	371.56	0	NA	4.41	69.07	36.56222222	139.3536111	770	9.8	1690	0	Conifer	8984.662075	1494.150685	0.237773455	0.457183898	-0.088182845	0.035306262	0.000325359	0.014421053	1.507	0.207833402	0.02256138	0.97743862	5.52	14.11	1	14.11	1.507	0.034	7.251	NA	104.5	2.49E+11	789916710	0.003	Andosols	Andosols	3	Artificial coniferous forest (planted in 2001)	Cryptomeria japonica	2.249674772
S87	OYC	7.225	15.70611292	94.3601128	0.12	130.2	0.25	79.13	1.04	53.99	36.56222222	139.3536111	770	9.8	1690	0	Conifer	9717.132873	1972.724138	0.262922413	0.356308446	-0.121523816	0.041459049	0.022605634	0.098497653	5.994285714	0.426162909	0.22950429	0.77049571	5.48	9.47	0.7	13.52857143	4.196	0.963	9.846	NA	42.6	1.28E+11	1029516495	0.008	Andosols	Andosols	3	Artificial coniferous forest (planted in 2001)	Cryptomeria japonica	3.485539878
S88	OYC	8.275	26.57968991	85.88128237	0.05	55.89	0	NA	1.98	36.41	36.56222222	139.3536111	770	9.8	1690	0	Conifer	8194.891032	1952.928	0.437820358	0.423786799	-0.084944838	0.082209411	0.010704225	0	0	0	0	0	5.61	5.96	0.44	13.54545455	NA	0.152	NA	NA	14.2	38056161311	263937824	0.007	Andosols	Andosols	3	Artificial coniferous forest (planted in 2001)	Cryptomeria japonica	4.823476434
S89	OYC	7.225	14.75067889	94.67321307	2.39	69.31	0	NA	1.87	33.64	36.56222222	139.3536111	770	9.8	1690	0	Conifer	10246.66197	1965.357143	0.378426244	0.339897497	-0.0826911	0.046335291	0.008764881	0.001383929	0.172222222	0.028908921	6.333333333	-5.333333333	5.54	7.72	0.54	14.2962963	0.093	0.589	3.217	NA	67.2	2.00E+11	924311032	0.005	Andosols	Andosols	3	Artificial coniferous forest (planted in 2001)	Cryptomeria japonica	2.350768291
S9	URN	6.308	14.81971253	93.88930553	0.65	70.52	1.18	31.45	8.18	31.63	44.35583333	142.2580556	300	4.4	1150	0	Conifer	5295.34434	1117.025	-0.719954735	-0.365472837	-0.451139567	-0.610282019	0.001519274	0.053900227	5.057446809	1.742668622	0.02818679	0.97181321	5.12	7.83	0.47	16.65957447	2.377	0.067	1.364	NA	44.1	69282186519	1188220328	0.017	Cambisols	Cambisols	2	Cool temperate mixed forest	Abies sachalinensis	1.737152742
S90	OYC	9.478	44.00554722	79.38903055	0.43	69.06	0.01	25.04	1.33	35.04	36.56222222	139.3536111	770	9.8	1690	0	Conifer	7538.07113	1504.205882	0.009641741	0.23223197	-0.231815087	0.001296774	0.012014011	0.191698774	19.54642857	0.671122011	0.062671295	0.937328705	5.24	7.71	0.56	13.76785714	10.946	0.686	16.31	NA	57.1	1.30E+11	472674335	0.004	Andosols	Andosols	3	Artificial coniferous forest (planted in 2001)	Cryptomeria japonica	3.884298362
S91	SDP	8.275	16.83813485	93.13920582	1.11	124.46	3.08	138.68	10.22	28.57	36.5225	138.35	1330	6.6	1220	0	Conifer	4984.12485	1010.603774	-0.423267599	-0.335344456	-0.215565981	-0.320759379	0.001821494	0.020956284	2.772289157	0.449589683	0.086918731	0.913081269	5.42	16.95	0.83	20.42168675	2.301	0.2	5.118	0.313	109.8	2.95E+11	8634025758	0.029	Andosols	Andosols	3	Secondary coniferous forest	Pinus densiflora	5.406884819
S92	SDP	9.478	30.40280987	83.90632187	1.1	158.05	1.97	70.09	8.42	30.3	36.5225	138.35	1330	6.6	1220	0	Conifer	5691.043057	1525.776923	-0.226156767	-0.17497645	-0.119522258	-0.264918901	0.000812808	0.029614122	4.45308642	0.583185125	0.027446632	0.972553368	5.43	15.47	0.81	19.09876543	3.607	0.099	6.185	1.402	121.8	3.04E+11	8194369753	0.027	Andosols	Andosols	3	Secondary coniferous forest	Pinus densiflora	4.491243871
S93	SDP	12.434	35.73036162	83.00333993	0.73	98.58	2.71	71.88	24.98	40.89	36.5225	138.35	1330	6.6	1220	0	Conifer	4810.408083	1355.522936	-0.563220345	-0.318965775	-0.116103862	-0.32574885	0.001448363	0.054130982	4.255445545	0.690996785	0.026756631	0.973243369	4.88	21.71	1.01	21.4950495	4.298	0.115	6.22	1.142	79.4	1.77E+11	4203274319	0.024	Andosols	Andosols	3	Secondary coniferous forest	Pinus densiflora	3.642649855
S94	SDP	7.225	16.38528354	93.54432278	2.53	139.56	3.14	77.25	17.95	38.2	36.5225	138.35	1330	6.6	1220	0	Conifer	3859.239583	1107.36036	-0.755745163	-0.493098891	-0.113052162	-0.369905085	0.000685714	0.032840816	4.14742268	0.619399538	0.02087994	0.97912006	4.89	22.34	0.97	23.03092784	4.023	0.084	6.495	0.574	122.5	2.27E+11	14277694897	0.063	Andosols	Andosols	3	Secondary coniferous forest	Pinus densiflora	3.975882772
S95	SDP	10.856	25.45531322	87.08238753	1	160.67	2.63	92.69	30.54	34.68	36.5225	138.35	1330	6.6	1220	0	Conifer	4939.727041	1187.598361	-0.622580972	-0.381442049	-0.136833139	-0.335430926	0	0.049452954	6.918367347	0.697961705	0	1	4.91	21.32	0.98	21.75510204	6.78	NA	9.714	NA	137.1	3.46E+11	13202412362	0.038	Andosols	Andosols	3	Secondary coniferous forest	Pinus densiflora	4.175333265
S96	SDB	8.275	23.90292143	87.54037379	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	4920.344578	1674.6125	-0.669008116	-0.4264448	-0.202497318	-0.342287117	0.000711974	0.019993528	4.290277778	0.635858378	0.03561023	0.96438977	5.42	14.92	0.72	20.72222222	3.089	0.11	4.858	1.301	154.5	3.71E+11	7871530878	0.021	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	3.076253377
S97	SDB	9.478	28.74427012	84.058	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	4447.4	1285.941606	-0.529777988	-0.208922314	-0.249296158	-0.409306772	0.003778776	0.040516564	8.294252874	0.914807302	0.093264967	0.906735033	4.92	17.68	0.87	20.32183908	7.216	0.673	7.888	0.611	178.1	4.14E+11	43410984684	0.105	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	2.917141999
S98	SDB	8.275	25.17952587	87.77236683	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	5160.384422	1304.185567	-0.552403222	-0.339524419	-0.209500454	-0.42300827	0.00326506	0.039036145	6.967741935	0.645289783	0.083641975	0.916358025	5.14	18.15	0.93	19.51612903	6.48	0.542	10.042	0.091	166	3.44E+11	23318054006	0.068	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	3.487432584
S99	SDB	9.478	15.31226761	95.61604384	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	5043.557007	1151.80198	-0.377741974	-0.246316955	-0.252893807	-0.376975163	0.000336538	0.088012821	9.895495495	0.907093897	0.003823744	0.996176256	5.18	21.4	1.11	19.27927928	10.984	0.042	12.109	0.057	124.8	2.20E+11	24011515736	0.109	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	2.133000916
